brand,model,year,mpf,category,category_by_score,iron_number,source
TAYLORMADE,Qi Max #6,2026,856,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
TITLEIST,T350 Forged #6,2025,856,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
ADAMS,Idea VST #6,2014,855,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King Oversize #6,2017,855,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFWORKS,CER 900 #6,2010,855,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,Royal Scot #6,2006,855,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,X-22 #6,2009,854,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,Air X #6,2022,854,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
1 IRON GOLF,1 iron,2005,853,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
COBRA,King Cobra UFi,2008,853,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
GOLFWORKS,CER 701+,2002,852,Ultra Game Improvement,Ultra Game Improvement,,GolfWorks Maltby Playability Factor
MIZUNO,Tava Ladies #7,2006,851,Ultra Game Improvement,Ultra Game Improvement,7,GolfWorks Maltby Playability Factor
TITLEIST,T400 #6,2020,851,Ultra Game Improvement,Ultra Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,TS3 DBM Black #6,2025,850,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,TS3 Forged #6,2023,849,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
BEN HOGAN,BH-5 #6,2004,848,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFWORKS,CER 701U,2003,846,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
MIZUNO,JPX 923 Hot Metal HL #6,2023,846,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,Aerojet One #6,2023,844,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,G15 #6,2010,844,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,TE+ V4 Forged #6,2024,838,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TITLEIST,AP1 710 #6,2010,838,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,845 Max #6,2021,838,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King Cobra SS-i Ladies’ #7,2004,834,Super Game Improvement,Super Game Improvement,7,GolfWorks Maltby Playability Factor
SPALDING,XL-2000,2000,834,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
TAYLORMADE,Slim Max #6,2020,834,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Rogue ST Max OS #6,2022,833,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King Cobra Transitions S #6,2007,833,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King Radspeed One #6,2021,833,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,R7 XD #6,2006,833,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,G #6,2016,832,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CLEVELAND,Launcher HB Turbo #6,2021,831,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
POWER BILT,Citation II,2001,831,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
